identity_key,member_count,member_reference_ids,statuses,product_name,canonical_brand_name,category_label,prices_cop,pages,image_sha256,perceptual_hash_distance_min,perceptual_hash_distance_max,proposal,confidence,reasons,requires_human_approval,business_line
BEAUTY_CARE|deademaosobrillo|e466082b-7532-4204-b781-94650387a81f,2,"[""CATV1-P176-R3L"", ""CATV1-P180-R3L""]","[""CONFLICT"", ""CONFLICT""]",DEADEMAOSOBRILLO,Bloomshell,,"[13000, 13000]","[176, 180]","[""221e66a65b7360e216f08f39571dd07314dd6b6b052f419144a0b8fc19bf61ec"", ""611fd3d06f7f8b52a657e17727e9d2c420958eb38fbd1172bc775dfb9655695e""]",9,9,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|delineador blanco|69039ea1-d8d5-4ae9-9dcb-f57b20ec92b7,2,"[""CATV1-P218-R1L"", ""CATV1-P221-R3R""]","[""CONFLICT"", ""CONFLICT""]",DELINEADOR BLANCO,,"CEJAS, PESTAÑAS Y DELINEADORES","[13000, 7000]","[218, 221]","[""30e032c6ff70aa170525b96ad580be94340a376e64ba0b4d2054585c874e5e02"", ""1242f31cf91710208ca1b90e66a42c38833db88595e49a42529d5488aff1032d""]",9,9,DEFER,40,"[""PRICE_VARIATION"", ""VISUAL_VARIATION"", ""INSUFFICIENT_IDENTITY_EVIDENCE""]",True,BEAUTY_CARE
BEAUTY_CARE|delineador|e466082b-7532-4204-b781-94650387a81f,2,"[""CATV1-P175-R1R"", ""CATV1-P176-R2L""]","[""CONFLICT"", ""CONFLICT""]",DELINEADOR,Bloomshell,,"[13000, 13000]","[175, 176]","[""47c1bc8c78d8d80eece61821b01162e4e3e5b61547e548be1f4a09aa44b30719"", ""14086f2de291adda92294ed2621ecf5f5b9cb463ab4b6a3fe28a6840f6f5a223""]",3,3,DUPLICATE_REFERENCE,95,"[""VERY_HIGH_VISUAL_SIMILARITY"", ""SAME_PRICE""]",True,BEAUTY_CARE
BEAUTY_CARE|encrespador fifty|69039ea1-d8d5-4ae9-9dcb-f57b20ec92b7,3,"[""CATV1-P222-R2L"", ""CATV1-P222-R3L"", ""CATV1-P223-R1L""]","[""CONFLICT"", ""CONFLICT"", ""CONFLICT""]",ENCRESPADOR FIFTY,,"CEJAS, PESTAÑAS Y DELINEADORES","[13000, 13000, 13000]","[222, 222, 223]","[""b99bcd2f83494936ff9358e6631171f53ef4bb3e74fd37877e6592042ef20aa2"", ""c83a98daccc8c3dbc71e8d84c09823758ee6098ab59e5caebebf2d86e242b35b"", ""77d44e51e347bce5140a8bb461cf4678125e493cab63e93329b69ef13700f11a""]",5,7,VARIANT_SET,80,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""NEARBY_CATALOG_PLACEMENT"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|gancho flor hawaiana|b36e2375-b910-4030-abf2-832999885338,2,"[""CATV1-P141-R3R"", ""CATV1-P142-R1R""]","[""CONFLICT"", ""CONFLICT""]",GANCHO FLOR HAWAIANA,,CEPILLOS Y ACCESORIOS PARA EL CABELLO,"[7000, 7000]","[141, 142]","[""7f34459a69e931f84e0144cfe83b572c5be7bb7ed8522f5e48fb7d96ca81853a"", ""e8513e5b43306e505900f0da9b49d1da0e98fa11053c2962e782148a0c2348b6""]",9,9,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|gel fijador cejas|a4ed69d0-66b1-4abd-9207-5ff729babb58,2,"[""CATV1-P208-R3L"", ""CATV1-P208-R3R""]","[""REVIEW_REQUIRED"", ""REVIEW_REQUIRED""]",GEL FIJADOR CEJAS,MONTOC,,"[26000, 25000]","[208, 208]","[""cfd1f1ced915d60f4b727db563509d43df685bea29e4ff8e1acaeb00ad82f3f8"", ""82c790391561c913a30025029dd725b2644b71f38abf9d02b9436c8abc8063a3""]",9,9,VARIANT_SET,65,"[""SAME_NAME_TAXONOMY"", ""NEARBY_CATALOG_PLACEMENT"", ""PRICE_VARIATION"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|gloss mimosa|e466082b-7532-4204-b781-94650387a81f,2,"[""CATV1-P187-R1R"", ""CATV1-P191-R3R""]","[""CONFLICT"", ""CONFLICT""]",GLOSS MIMOSA,Bloomshell,,"[26000, 17000]","[187, 191]","[""bab9cedbecccab7ca2a635b159f90fc92e4c9a6e9d0a724b5c6542b656ee4369"", ""e85b61cf7dda01012d23c441b91e2e99cdfef1b7b64719236c1ca0c45bdb38e0""]",8,8,DEFER,40,"[""PRICE_VARIATION"", ""VISUAL_VARIATION"", ""INSUFFICIENT_IDENTITY_EVIDENCE""]",True,BEAUTY_CARE
BEAUTY_CARE|glowy shell|e466082b-7532-4204-b781-94650387a81f,2,"[""CATV1-P180-R2L"", ""CATV1-P182-R3R""]","[""CONFLICT"", ""CONFLICT""]",GLOWY SHELL,Bloomshell,,"[13000, 13000]","[180, 182]","[""24b6a00baa6ba683a8806fe468ab5c2704697a98dad7ec38ea9be914096db8c1"", ""da67c6a00e8b76ef1aaa158ed142910c79d1923e8b9e6bb805833dba51ed4fda""]",12,12,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|kit cartuchera|ea9d8272-18a7-4af8-8f21-578b65ac5c66,2,"[""CATV1-P236-R3L"", ""CATV1-P238-R3L""]","[""CONFLICT"", ""CONFLICT""]",KIT CARTUCHERA,Purpure by Angie Bedoya,,"[41900, 41900]","[236, 238]","[""d7badc5b85ec50dd2184f830b3cf2146e04221b4526c37d7abdd0712820f179b"", ""8d7f160bf8d22ab4057cab2bf7a152e939842f5098c28f9b073e4b4520f7e252""]",10,10,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|labial humectante|ea9d8272-18a7-4af8-8f21-578b65ac5c66,2,"[""CATV1-P238-R1R"", ""CATV1-P238-R2L""]","[""CONFLICT"", ""CONFLICT""]",LABIAL HUMECTANTE,Purpure by Angie Bedoya,,"[8000, 20000]","[238, 238]","[""44fcea456092b3d009877921008cc17a13462ddeca02b62b78076a3e56ea99fa"", ""1d6a6c87f8d934d42cc23c6f3a422f91b635d9927a310ae98bfaa7b67660d4c9""]",6,6,VARIANT_SET,65,"[""SAME_NAME_TAXONOMY"", ""NEARBY_CATALOG_PLACEMENT"", ""PRICE_VARIATION"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|labial pureglow og|4ef7e563-2744-446c-804d-7fc5952ec59a,2,"[""CATV1-P146-R1R"", ""CATV1-P146-R2L""]","[""CONFLICT"", ""CONFLICT""]",LABIAL PUREGLOW OG,Outdoor Girl,,"[36000, 36000]","[146, 146]","[""9421436f7c10329b4faa1bc8f538feed5a142fed9628be195bcb9714aa4d6894"", ""77b4e12fccccc73417f4b9ac32cb0dede46eec1e8b13a099cc5b19c6845b5313""]",6,6,VARIANT_SET,80,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""NEARBY_CATALOG_PLACEMENT"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|light set montoc|a4ed69d0-66b1-4abd-9207-5ff729babb58,2,"[""CATV1-P208-R1L"", ""CATV1-P208-R2R""]","[""REVIEW_REQUIRED"", ""REVIEW_REQUIRED""]",LIGHT SET MONTOC,MONTOC,,"[37000, 34000]","[208, 208]","[""44152c4d518118460c2147adc9d5bc3be7c867195e455bb0d5f81981cefc5e4f"", ""4356b805291093a42092a94303af505a0ca334cc0855fd7ed0bb06d01a7d3607""]",8,8,VARIANT_SET,65,"[""SAME_NAME_TAXONOMY"", ""NEARBY_CATALOG_PLACEMENT"", ""PRICE_VARIATION"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|lip gloss|340fb06e-fd22-49ec-a967-359e83aa939b,3,"[""CATV1-P150-R1R"", ""CATV1-P150-R3L"", ""CATV1-P151-R1R""]","[""CONFLICT"", ""CONFLICT"", ""CONFLICT""]",LIP GLOSS,Destiny by La Segura,,"[31000, 31000, 31000]","[150, 150, 151]","[""6e53701707fa1a5a049cd1edd723d049480de87b08f74dcfe6b74e749324fbdf"", ""f9cec1aa5227a7e0299c3f89296e0aeadbc54f96f884063a1c7f5b178d2072d9"", ""b2fa90b3583fa9de8bac6ff5664111e271c53f24f33bd8bd10953f42676e430e""]",0,6,VARIANT_SET,80,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""NEARBY_CATALOG_PLACEMENT"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|lip liner|340fb06e-fd22-49ec-a967-359e83aa939b,2,"[""CATV1-P151-R3L"", ""CATV1-P152-R2R""]","[""CONFLICT"", ""CONFLICT""]",LIP LINER,Destiny by La Segura,,"[21000, 21000]","[151, 152]","[""58cc5fbf8d9b81d6eabccdd109bffddbd2872714e92e2b602c6d1ad5491dda9c"", ""0ddf8014ff24f8097740764769a6a28704bba6fdea6b0f743a4242277cdf8326""]",15,15,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|masajeador capilar|b36e2375-b910-4030-abf2-832999885338,2,"[""CATV1-P138-R1L"", ""CATV1-P141-R2R""]","[""CONFLICT"", ""CONFLICT""]",MASAJEADOR CAPILAR,,CEPILLOS Y ACCESORIOS PARA EL CABELLO,"[13000, 13000]","[138, 141]","[""c39303465fb9c1b168ccc77301f9d21f6cdd8c9563584eb3c0b0a776c465f490"", ""09b193515136b9ce3213e2c7939d9ee0f1358ed7497c56af1defc2632d2bcf8a""]",1,1,DUPLICATE_REFERENCE,95,"[""VERY_HIGH_VISUAL_SIMILARITY"", ""SAME_PRICE""]",True,BEAUTY_CARE
BEAUTY_CARE|perfume capilar|97dfff9f-d633-42b5-b01b-b5cf608440cf,2,"[""CATV1-P063-R3L"", ""CATV1-P063-R3R""]","[""CONFLICT"", ""CONFLICT""]",PERFUME CAPILAR,Leche Pal Pelo,,"[25000, 25000]","[63, 63]","[""b83f284370682ead4caa0a64dfe65218d3eb5ab2656a42c16dc610461a9f30fa"", ""c813317b64db5f8bd1d419c33b8aaf032cbc9ac13478d4daa2cfc1299c220e69""]",4,4,VARIANT_SET,80,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""NEARBY_CATALOG_PLACEMENT"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|piluss pestanas|69039ea1-d8d5-4ae9-9dcb-f57b20ec92b7,2,"[""CATV1-P221-R2R"", ""CATV1-P221-R3L""]","[""CONFLICT"", ""CONFLICT""]",PILUSS PESTÁÑAS,,"CEJAS, PESTAÑAS Y DELINEADORES","[46000, 11000]","[221, 221]","[""f9f58ac5474206b28fc5d365bfc5b5182ff99382982e2be10639236e75e688e3"", ""71530ce269afb34fb256974c9d99642c2a3332d5c5f923ee75138aecfd574822""]",10,10,VARIANT_SET,65,"[""SAME_NAME_TAXONOMY"", ""NEARBY_CATALOG_PLACEMENT"", ""PRICE_VARIATION"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|pinza coreana|b36e2375-b910-4030-abf2-832999885338,2,"[""CATV1-P140-R1R"", ""CATV1-P141-R1L""]","[""CONFLICT"", ""CONFLICT""]",PINZA COREANA,,CEPILLOS Y ACCESORIOS PARA EL CABELLO,"[6000, 6000]","[140, 141]","[""f75b49e377b8700132e336ec7a3cbaf38cdd4951fce729a92931eabd13ea963f"", ""d966ea5568e8ed81888b1c737eacc083cce575dc4d850f3f4518bacc7e817656""]",11,11,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|polvo majikal mini|52c89d28-6e86-49d7-838d-1ea3be7c096f,2,"[""CATV1-P164-R3L"", ""CATV1-P164-R3R""]","[""CONFLICT"", ""CONFLICT""]",POLVO MAJIKAL MINI,Majikal,,"[31000, 16000]","[164, 164]","[""2985b0d6afdacb2aa37f0b93be93f69a7d4061c3c6ab67b91dcbd3fe4cccd939"", ""d0a44af5f0b532ec3ee256b809c820dcafc3395a363fd78aca128c189116a549""]",6,6,VARIANT_SET,65,"[""SAME_NAME_TAXONOMY"", ""NEARBY_CATALOG_PLACEMENT"", ""PRICE_VARIATION"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|princesas|0d5fd0dc-2e4c-4e77-bb0a-879997df316d,4,"[""CATV1-P073-R2R"", ""CATV1-P073-R3L"", ""CATV1-P073-R3R"", ""CATV1-P074-R1L""]","[""CONFLICT"", ""CONFLICT"", ""CONFLICT"", ""CONFLICT""]",PRINCESAS,Cosmos,,"[33000, 39000, 34000, 34000]","[73, 73, 73, 74]","[""03a5ca7d982e6fec3d3fc52b6b46bc96cfd5df7548ff371114082290e25ed010"", ""cc387f7e227e305d192df69c89b849d546f343d8fadc01f2d10e6d752fdd0180"", ""4f0fdd4eba30b23c7f5dbf3fce86fbbb85a69e05ff3e7b8f2d246e329eb19801"", ""76c181428cc80c33760a1cc4d145f41de72df59e226266f2310dec00981cf7ca""]",0,2,DUPLICATE_REFERENCE,90,"[""VERY_HIGH_VISUAL_SIMILARITY"", ""PRICE_CONFLICT""]",True,BEAUTY_CARE
BEAUTY_CARE|profesional liso en casa|93f65203-1aaf-405d-9c6d-9e4c46b9b936,2,"[""CATV1-P025-R2L"", ""CATV1-P025-R2R""]","[""CONFLICT"", ""CONFLICT""]",PROFESIONAL LISO EN CASA,Anyeluz,,"[71000, 71000]","[25, 25]","[""25b5a1fd4b40c39f1d7a39599ec696258a64259d930ca5e3b6facac7e8539f82"", ""fd0601bab61f16fdf6db1dfb7cca9a3c426668f314eed48fa4e250609bca74c8""]",12,12,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|rubor og yess queen|4ef7e563-2744-446c-804d-7fc5952ec59a,2,"[""CATV1-P144-R1L"", ""CATV1-P144-R1R""]","[""CONFLICT"", ""CONFLICT""]",RUBOR OG YESS QUEEN,Outdoor Girl,,"[41000, 36000]","[144, 144]","[""24da711148989ae3490d7d8ffe19b8c2c97326ec40c2be0bd87912c2df5d948f"", ""87167d3d8985887c403e11cb5dbbdaf5204369ae2588d2e0d3f9e345c3388423""]",9,9,VARIANT_SET,65,"[""SAME_NAME_TAXONOMY"", ""NEARBY_CATALOG_PLACEMENT"", ""PRICE_VARIATION"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|serum milagros|7d7ace64-4b5a-46ff-99e8-ffe658fe617f,2,"[""CATV1-P029-R2L"", ""CATV1-P032-R3R""]","[""CONFLICT"", ""CONFLICT""]",SERUM MILAGROS,Milagros,,"[37000, 47000]","[29, 32]","[""a0d8dd8c3c03136abf5951b89a9a76a6d404e38dca0bbb6df81087344e5a0b27"", ""fa5e440bbed40a5095a7b0b2c9426f1817f0caefb753ac772844862159859489""]",0,0,DUPLICATE_REFERENCE,90,"[""VERY_HIGH_VISUAL_SIMILARITY"", ""PRICE_CONFLICT""]",True,BEAUTY_CARE
BEAUTY_CARE|shampoo biorepo|7d7ace64-4b5a-46ff-99e8-ffe658fe617f,2,"[""CATV1-P028-R3R"", ""CATV1-P035-R1R""]","[""CONFLICT"", ""CONFLICT""]",SHAMPOO BIOREPO,Milagros,,"[36900, 36900]","[28, 35]","[""f917ae7b7949f2efb13eb0a647480658d8d26ee8902acd60d629b581f2a4ef7d"", ""9b18c88064ea410d772e1332e6441764e6ce6223dcdc6d24a69e92d02c753444""]",7,7,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|shampoo emergencia|7d7ace64-4b5a-46ff-99e8-ffe658fe617f,2,"[""CATV1-P028-R1L"", ""CATV1-P034-R3R""]","[""CONFLICT"", ""CONFLICT""]",SHAMPOO EMERGENCIA,Milagros,,"[36900, 16000]","[28, 34]","[""19f4bd3484097bba626b93bd9156d059c90362c66f87831783edd078510c601a"", ""8cb2d2656fc5a31cccca9a15a2c35a02e263622fbdd9a657fe580f9ae216fd78""]",17,17,DEFER,40,"[""PRICE_VARIATION"", ""VISUAL_VARIATION"", ""INSUFFICIENT_IDENTITY_EVIDENCE""]",True,BEAUTY_CARE
BEAUTY_CARE|splash purpure|ea9d8272-18a7-4af8-8f21-578b65ac5c66,2,"[""CATV1-P233-R1L"", ""CATV1-P233-R3L""]","[""CONFLICT"", ""CONFLICT""]",SPLASH PURPURE,Purpure by Angie Bedoya,,"[27000, 17000]","[233, 233]","[""31d429efd874467386e6e212b21cefea2e03355448389cc9eae14b96641eab0b"", ""03b31c8e510ebc4c362f148cce50ed433282e3da06553f8cbe41c5f37089976c""]",4,4,DUPLICATE_REFERENCE,80,"[""HIGH_VISUAL_SIMILARITY"", ""PRICE_CONFLICT""]",True,BEAUTY_CARE
BEAUTY_CARE|trata frutas|7d7ace64-4b5a-46ff-99e8-ffe658fe617f,2,"[""CATV1-P027-R3R"", ""CATV1-P035-R1L""]","[""CONFLICT"", ""CONFLICT""]",TRATA. FRUTAS,Milagros,,"[37900, 16000]","[27, 35]","[""75a893c16e7c81bee0d0028cadae7e10804cb70b001c85aaf86a1dc8388cbed2"", ""61cb74fb752d053ef038ab51cf3577a61956a5dbe5e64453d61219b77cd18d9d""]",8,8,DEFER,40,"[""PRICE_VARIATION"", ""VISUAL_VARIATION"", ""INSUFFICIENT_IDENTITY_EVIDENCE""]",True,BEAUTY_CARE
